xi,yi
$19.43,$14.72
$95.52,$222.15
$30.63,$46.40
$94.74,$185.77
$49.63,$99.27
$18.16,$14.76
$17.62,$18.16
$53.29,$121.11
$68.47,$136.95
$16.99,$11.88
$17.73,$12.75
$68.35,$151.88
$325.73,$8.57
$474.05,$13.94
$157.12,$5.24
$280.42,$40.06
$294.00,$36.75
$173.45,$34.69
$172.87,$21.61
$351.25,$39.03
$420.00,$14.00
$188.42,$26.92
$302.19,$33.58
$519.76,$9.12
$185.05,$18.50
$81.47,$16.29
$456.05,$16.89
$171.56,$12.25
$71.64,$8.95
$147.10,$9.81
$115.97,$3.62
$43.00,$14.33
$64.34,$4.02
$178.24,$3.87
$5.67,$2.83
$99.92,$7.96
$43.54,$1.56
$46.86,$22.00
$10.06,$0.93
$34.59,$28.35
$60.40,$5.64
$16.82,$3.60
$21.38,$9.67
$29.27,$15.40
$20.13,$8.08
$900.00,$900.00
$260.69,$260.69
$193.94,$1.94
$82.50,$0.02
$600.00,$2.50
$111.88,$180.45
$40.08,$60.72
$23.71,$15.10
$19.53,$14.80
$97.19,$226.02
$30.83,$46.71
$95.71,$187.67
$49.78,$99.56
$18.26,$14.84
$17.77,$18.32
$53.89,$122.48
$68.90,$137.81
$17.05,$11.93
$17.73,$12.75
$69.05,$153.45
$377.20,$9.93
$538.85,$15.85
$159.50,$5.32
$282.48,$40.35
$311.45,$38.93
$178.96,$35.79
$172.60,$21.58
$360.25,$40.03
$420.00,$14.00
$191.26,$27.32
$250.51,$27.83
$560.61,$9.84
$192.01,$19.20
$83.53,$16.71
$476.89,$17.66
$148.54,$10.61
$93.58,$11.70
$184.69,$12.31
$175.45,$5.48
$44.26,$14.75
$67.53,$4.22
$193.24,$4.20
$6.20,$3.10
$106.51,$8.49
$44.86,$1.60
$47.68,$22.38
$10.99,$1.01
$36.72,$30.10
$63.20,$5.90
$17.79,$3.81
$22.27,$10.08
$29.91,$15.74
$20.69,$8.31
$900.00,$900.00
$291.56,$291.56
$195.52,$1.96
$82.50,$0.02
$600.00,$2.50
$114.09,$184.01
$40.41,$61.23
$24.35,$15.51
$20.02,$15.17
$98.00,$227.92
$30.97,$46.93
$98.54,$193.22
$51.06,$102.12
$18.91,$15.37
$18.16,$18.72
$55.12,$125.27
$70.11,$140.22
$17.57,$12.29
$18.11,$13.03
$71.73,$159.40
$341.38,$8.98
$526.70,$15.49
$159.01,$5.30
$284.33,$40.62
$309.08,$38.63
$175.99,$35.20
$172.85,$21.61
$358.40,$39.82
$420.00,$14.00
$190.35,$27.19
$281.99,$31.33
$560.73,$9.84
$189.12,$18.91
$81.59,$16.32
$478.00,$17.70
$177.60,$12.69
$86.32,$10.79
$167.67,$11.18
$163.52,$5.11
$43.64,$14.55
$67.01,$4.19
$211.06,$4.59
$5.64,$2.82
$102.09,$8.13
$43.85,$1.57
$47.26,$22.19
$10.29,$0.95
$34.95,$28.65
$62.53,$5.84
$17.52,$3.75
$22.03,$9.97
$29.77,$15.67
$20.21,$8.11
$900.00,$900.00
$274.81,$274.81
$194.74,$1.95
$82.50,$0.02
$600.00,$2.50
$113.57,$183.18
$40.14,$60.82
$23.93,$15.24
$19.76,$14.97
$99.19,$230.68
$30.88,$46.79
$96.91,$190.01
$50.24,$100.49
$18.64,$15.15
$17.71,$18.26
$54.48,$123.83
$69.45,$138.90
$17.28,$12.08
$17.91,$12.89
$71.25,$158.33
$386.09,$10.16
$512.12,$15.06
$159.69,$5.32
$274.10,$39.16
$315.06,$39.38
$178.01,$35.60
$174.76,$21.85
$354.72,$39.41
$420.00,$14.00
$193.73,$27.68
$248.07,$27.56
$596.67,$10.47
$194.51,$19.45
$83.50,$16.70
$505.88,$18.74
$135.23,$9.66
$94.66,$11.83
$179.84,$11.99
$135.97,$4.25
$52.61,$17.54
$68.28,$4.27
$173.13,$3.76
$7.42,$3.71
$108.46,$8.64
$46.16,$1.65
$48.40,$22.72
$11.14,$1.02
$37.06,$30.38
$64.42,$6.01
$17.83,$3.82
$22.57,$10.21
$30.07,$15.83
$21.01,$8.44
$900.00,$900.00
$286.99,$286.99
$196.33,$1.96
$82.50,$0.02
$600.00,$2.50
$113.23,$182.63
$44.08,$66.78
$24.65,$15.70
$19.84,$15.03
$98.47,$228.99
$31.48,$47.70
$98.63,$193.39
$53.79,$107.58
$19.35,$15.73
$18.33,$18.90
$55.39,$125.89
$71.35,$142.69
$17.80,$12.45
$18.69,$13.45
$72.39,$160.86
$403.43,$10.62
$457.65,$13.46
$160.12,$5.34
$269.37,$38.48
$315.65,$39.46
$182.26,$36.45
$175.43,$21.93
$354.72,$39.41
$460.67,$15.36
$199.94,$28.56
$260.04,$28.89
$575.83,$10.10
$196.34,$19.63
$83.52,$16.70
$501.22,$18.56
$109.92,$7.85
$94.04,$11.75
$156.55,$10.44
$144.93,$4.53
$56.33,$18.78
$67.30,$4.21
$157.50,$3.42
$8.60,$4.30
$112.81,$8.99
$47.11,$1.68
$49.54,$23.26
$11.14,$1.02
$37.06,$30.38
$65.86,$6.15
$17.79,$3.81
$22.89,$10.36
$30.19,$15.89
$21.38,$8.58
$900.00,$900.00
$268.95,$268.95
$197.14,$1.97
$82.50,$0.02
$600.00,$2.50
$113.98,$183.85
$44.19,$66.95
$24.65,$15.70
$19.94,$15.11
$98.91,$230.02
$31.48,$47.70
$99.25,$194.61
$53.27,$106.55
$19.50,$15.85
$18.80,$19.38
$56.10,$127.50
$71.40,$142.81
$17.98,$12.58
$18.84,$13.56
$72.82,$161.83
$417.97,$11.00
$438.61,$12.90
$160.88,$5.36
$264.39,$37.77
$315.80,$39.47
$183.00,$36.60
$175.78,$21.97
$365.53,$40.61
$480.90,$16.03
$208.76,$29.82
$283.21,$31.47
$574.90,$10.09
$198.83,$19.88
$82.72,$16.54
$506.34,$18.75
$121.90,$8.71
$97.52,$12.19
$160.46,$10.70
$198.11,$6.19
$68.21,$22.74
$66.86,$4.18
$128.86,$2.80
$9.63,$4.82
$116.60,$9.29
$49.35,$1.76
$49.83,$23.39
$11.14,$1.02
$37.40,$30.65
$67.30,$6.28
$18.38,$3.94
$23.40,$10.59
$30.44,$16.02
$21.37,$8.58
$900.00,$900.00
$245.55,$245.55
$197.93,$1.98
$82.50,$0.02
$600.00,$2.50
$113.62,$183.25
$44.37,$67.23
$24.65,$15.70
$19.94,$15.11
$100.64,$234.05
$32.26,$48.87
$100.26,$196.58
$53.85,$107.70
$19.50,$15.85
$18.80,$19.38
$55.18,$125.40
$71.82,$143.64
$18.33,$12.82
$18.84,$13.56
$73.63,$163.61
$413.48,$10.88
$429.15,$12.62
$161.16,$5.37
$245.08,$35.01
$314.71,$39.34
$183.00,$36.60
$175.90,$21.99
$363.28,$40.36
$480.90,$16.03
$219.16,$31.31
$305.28,$33.92
$564.79,$9.91
$198.86,$19.89
$83.63,$16.73
$523.90,$19.40
$190.40,$13.60
$140.89,$17.61
$194.95,$13.00
$166.59,$5.21
$95.69,$31.90
$67.86,$4.24
$138.75,$3.02
$15.21,$7.61
$117.01,$9.32
$49.35,$1.76
$50.50,$23.71
$11.14,$1.02
$37.54,$30.77
$68.16,$6.36
$18.73,$4.01
$23.90,$10.81
$30.75,$16.19
$21.74,$8.73
$900.00,$900.00
$193.20,$193.20
$198.75,$1.99
$82.50,$0.02
$600.00,$2.50
$116.68,$188.19
$45.02,$68.22
$25.28,$16.10
$20.51,$15.53
$101.63,$236.36
$32.53,$49.29
$102.70,$201.37
$55.41,$110.81
$19.91,$16.19
$19.03,$19.62
$56.83,$129.17
$72.88,$145.77
$18.47,$12.92
$19.10,$13.74
$74.97,$166.60
$400.33,$10.53
$416.83,$12.26
$161.45,$5.38
$233.13,$33.30
$316.19,$39.52
$185.43,$37.09
$171.90,$21.49
$366.97,$40.77
$480.90,$16.03
$222.93,$31.85
$315.20,$35.02
$551.58,$9.68
$199.42,$19.94
$82.64,$16.53
$493.79,$18.29
$236.66,$16.90
$138.28,$17.28
$210.45,$14.03
$165.24,$5.16
$82.62,$27.54
$70.38,$4.40
$134.09,$2.92
$14.30,$7.15
$117.05,$9.33
$50.62,$1.81
$50.48,$23.70
$11.14,$1.02
$37.30,$30.58
$68.93,$6.44
$19.09,$4.09
$24.09,$10.90
$30.78,$16.20
$21.61,$8.68
$900.00,$900.00
$162.17,$162.17
$199.55,$2.00
$82.50,$0.02
$600.00,$2.50
$117.97,$190.27
$45.41,$68.80
$25.28,$16.10
$20.51,$15.53
$103.20,$240.00
$32.90,$49.84
$103.91,$203.75
$57.46,$114.91
$20.01,$16.27
$19.19,$19.78
$57.05,$129.65
$73.81,$147.61
$18.47,$12.92
$19.24,$13.84
$77.55,$172.34
$398.50,$10.49
$399.66,$11.75
$163.14,$5.44
$226.23,$32.32
$315.59,$39.45
$189.88,$37.98
$174.21,$21.78
$369.73,$41.08
$480.90,$16.03
$225.74,$32.25
$334.26,$37.14
$554.29,$9.72
$201.32,$20.13
$83.80,$16.76
$472.15,$17.49
$138.32,$9.88
$119.53,$14.94
$220.36,$14.69
$197.12,$6.16
$60.15,$20.05
$73.50,$4.59
$123.86,$2.69
$10.32,$5.16
$117.91,$9.40
$51.20,$1.83
$50.23,$23.58
$11.14,$1.02
$37.87,$31.04
$69.68,$6.51
$19.39,$4.15
$24.34,$11.01
$30.96,$16.30
$21.69,$8.71
$900.00,$900.00
$155.73,$155.73
$200.38,$2.00
$82.50,$0.02
$600.00,$2.50
$118.11,$190.51
$45.71,$69.26
$25.28,$16.10
$20.95,$15.87
$104.26,$242.47
$32.89,$49.84
$103.43,$202.81
$58.11,$116.22
$20.44,$16.62
$19.43,$20.03
$56.89,$129.29
$74.49,$148.97
$18.80,$13.15
$19.45,$13.99
$78.14,$173.64
$396.74,$10.44
$378.84,$11.14
$163.91,$5.46
$220.62,$31.52
$316.34,$39.54
$193.94,$38.79
$173.80,$21.72
$365.60,$40.62
$480.90,$16.03
$224.55,$32.08
$324.96,$36.11
$570.19,$10.00
$202.02,$20.20
$85.07,$17.01
$484.77,$17.95
$104.62,$7.47
$101.31,$12.66
$200.89,$13.39
$181.53,$5.67
$42.11,$14.04
$76.24,$4.77
$127.01,$2.76
$8.35,$4.17
$118.34,$9.43
$51.41,$1.84
$50.45,$23.68
$10.89,$1.00
$38.29,$31.38
$70.54,$6.59
$19.90,$4.26
$24.38,$11.03
$31.58,$16.62
$21.99,$8.83
$900.00,$900.00
$169.98,$169.98
$201.21,$2.01
$82.50,$0.02
$600.00,$2.50
$119.87,$193.34
$46.05,$69.78
$25.73,$16.39
$20.96,$15.88
$106.35,$247.32
$33.22,$50.34
$105.26,$206.40
$59.22,$118.44
$20.74,$16.86
$19.43,$20.03
$57.58,$130.87
$74.91,$149.82
$18.73,$13.10
$19.80,$14.25
$79.32,$176.27
$394.69,$10.39
$355.44,$10.45
$164.47,$5.48
$217.00,$31.00
$315.42,$39.43
$194.15,$38.83
$178.31,$22.29
$376.19,$41.80
$480.90,$16.03
$221.27,$31.61
$315.41,$35.05
$598.42,$10.50
$201.82,$20.18
$90.24,$18.05
$457.06,$16.93
$88.15,$6.30
$85.89,$10.74
$179.30,$11.95
$167.32,$5.23
$40.27,$13.42
$82.76,$5.17
$142.59,$3.10
$5.34,$2.67
$118.42,$9.44
$51.67,$1.85
$50.61,$23.76
$10.84,$1.00
$38.14,$31.26
$71.06,$6.63
$20.33,$4.35
$24.66,$11.16
$31.79,$16.73
$21.96,$8.82
$900.00,$900.00
$162.53,$162.53
$201.21,$2.01
$82.50,$0.02
$600.00,$2.50
$119.76,$193.16
$46.51,$70.47
$25.58,$16.29
$20.96,$15.88
$106.36,$247.34
$33.22,$50.34
$105.26,$206.40
$59.22,$118.44
$20.74,$16.86
$19.43,$20.03
$57.58,$130.87
$75.15,$150.30
$18.80,$13.14
$19.98,$14.38
$80.46,$178.80
$394.42,$10.38
$339.63,$9.99
$165.68,$5.52
$210.54,$30.08
$315.09,$39.39
$194.36,$38.87
$176.67,$22.08
$369.17,$41.02
$480.90,$16.03
$202.96,$28.99
$318.12,$35.35
$583.12,$10.23
$201.19,$20.12
$79.13,$15.83
$450.25,$16.68
$80.15,$5.73
$77.28,$9.66
$138.46,$9.23
$104.96,$3.28
$39.83,$13.28
$91.90,$5.74
$167.48,$3.64
$4.78,$2.39
$117.98,$9.40
$52.47,$1.88
$50.65,$23.78
$11.09,$1.02
$38.29,$31.38
$72.44,$6.76
$21.00,$4.50
$24.82,$11.23
$32.30,$17.00
$22.16,$8.90
$900.00,$900.00
$161.99,$161.99
$202.80,$2.03
$82.50,$0.02
$600.00,$2.50
$120.09,$193.70
$46.71,$70.78
$25.85,$16.46
$21.72,$16.46
$106.37,$247.36
$34.28,$51.93
$107.35,$210.50
$59.71,$119.43
$21.40,$17.40
$19.68,$20.29
$58.14,$132.15
$74.10,$148.20
$18.93,$13.24
$19.86,$14.29
$80.50,$178.88
$385.97,$10.16
$337.90,$9.94
$166.08,$5.54
$204.69,$29.24
$313.99,$39.25
$190.97,$38.19
$176.79,$22.10
$370.55,$41.17
$480.90,$16.03
$195.86,$27.98
$307.05,$34.12
$589.21,$10.34
$200.19,$20.02
$77.85,$15.57
$456.31,$16.90
$77.87,$5.56
$95.75,$11.97
$135.14,$9.01
$173.22,$5.41
$39.59,$13.20
$97.84,$6.12
$195.18,$4.24
$4.67,$2.34
$117.58,$9.37
$52.96,$1.89
$50.48,$23.70
$10.84,$1.00
$38.29,$31.38
$72.46,$6.77
$21.59,$4.62
$24.93,$11.28
$32.32,$17.01
$22.24,$8.93
$900.00,$900.00
$163.70,$163.70
$203.62,$2.04
$82.50,$0.02
$600.00,$2.50
$120.31,$194.06
$46.72,$70.79
$26.04,$16.58
$21.23,$16.09
$107.04,$248.93
$34.37,$52.08
$106.21,$208.26
$61.39,$122.77
$21.46,$17.45
$19.68,$20.29
$58.42,$132.78
$74.49,$148.99
$19.99,$13.98
$19.99,$14.38
$80.67,$179.28
$369.93,$9.74
$332.77,$9.79
$165.41,$5.51
$200.51,$28.64
$313.09,$39.14
$186.87,$37.37
$171.31,$21.41
$377.16,$41.91
$480.90,$16.03
$217.29,$31.04
$230.06,$25.56
$569.23,$9.99
$199.87,$19.99
$90.20,$18.04
$452.28,$16.75
$85.98,$6.14
$105.44,$13.18
$139.22,$9.28
$188.48,$5.89
$36.07,$12.02
$96.58,$6.04
$178.05,$3.87
$6.91,$3.46
$119.20,$9.50
$53.46,$1.91
$50.47,$23.69
$10.84,$1.00
$38.38,$31.46
$72.54,$6.77
$21.55,$4.61
$25.00,$11.31
$32.34,$17.02
$22.24,$8.93
$900.00,$900.00
$173.99,$173.99
$204.46,$2.04
$82.50,$0.02
$600.00,$2.50
$120.42,$194.22
$46.96,$71.15
$26.57,$16.92
$21.05,$15.95
$106.94,$248.71
$34.95,$52.96
$106.74,$209.30
$63.18,$126.36
$21.55,$17.52
$19.73,$20.34
$58.63,$133.26
$74.64,$149.29
$20.38,$14.25
$20.24,$14.56
$80.63,$179.18
$357.17,$9.40
$314.91,$9.26
$166.15,$5.54
$193.09,$27.58
$314.87,$39.36
$187.50,$37.50
$172.40,$21.55
$360.20,$40.02
$480.90,$16.03
$210.48,$30.07
$203.94,$22.66
$565.26,$9.92
$99.17,$9.92
$90.64,$18.13
$428.67,$15.88
$78.66,$5.62
$112.30,$14.04
$158.56,$10.57
$193.60,$6.05
$41.81,$13.94
$91.77,$5.74
$189.55,$4.12
$7.49,$3.75
$119.37,$9.51
$54.27,$1.94
$50.82,$23.86
$10.92,$1.00
$38.38,$31.46
$72.44,$6.76
$21.50,$4.60
$24.99,$11.31
$32.69,$17.21
$22.08,$8.87
$900.00,$900.00
$187.03,$187.03
$205.29,$2.05
$82.50,$0.02
$600.00,$2.50
$121.14,$195.39
$47.06,$71.30
$26.69,$17.00
$21.34,$16.17
$106.96,$248.74
$34.95,$52.95
$105.35,$206.56
$63.56,$127.12
$21.54,$17.51
$19.65,$20.26
$58.68,$133.37
$74.93,$149.87
$20.74,$14.50
$20.24,$14.56
$81.04,$180.10
$355.44,$9.35
$296.03,$8.71
$166.36,$5.55
$185.07,$26.44
$313.38,$39.17
$185.00,$37.00
$169.85,$21.23
$353.79,$39.31
$480.90,$16.03
$196.71,$28.10
$215.88,$23.99
$597.29,$10.48
$199.98,$20.00
$91.69,$18.34
$458.69,$16.99
$106.81,$7.63
$110.10,$13.76
$163.50,$10.90
$128.63,$4.02
$45.83,$15.28
$93.83,$5.86
$163.22,$3.55
$7.63,$3.81
$119.31,$9.51
$54.27,$1.94
$50.83,$23.86
$10.92,$1.00
$38.73,$31.74
$72.18,$6.74
$21.73,$4.65
$25.05,$11.33
$32.68,$17.20
$22.17,$8.91
$900.00,$900.00
$183.29,$183.29
$206.14,$2.06
$82.50,$0.02
$600.00,$2.50
$121.77,$196.41
$48.18,$73.00
$26.67,$16.99
$21.67,$16.42
$106.97,$248.76
$35.26,$53.42
$106.05,$207.94
$63.55,$127.10
$21.54,$17.51
$19.68,$20.29
$59.05,$134.20
$76.74,$153.49
$20.86,$14.59
$20.40,$14.67
$82.74,$183.87
$354.07,$9.32
$281.16,$8.27
$167.08,$5.57
$177.97,$25.42
$308.00,$38.50
$184.35,$36.87
$165.67,$20.71
$355.38,$39.49
$480.90,$16.03
$195.08,$27.87
$250.56,$27.84
$573.34,$10.06
$200.32,$20.03
$92.56,$18.51
$448.01,$16.59
$160.00,$11.43
$105.47,$13.18
$151.13,$10.08
$123.98,$3.87
$50.04,$16.68
$88.19,$5.51
$136.40,$2.97
$6.62,$3.31
$118.45,$9.44
$54.27,$1.94
$50.82,$23.86
$10.92,$1.00
$38.73,$31.74
$72.41,$6.76
$21.91,$4.69
$25.05,$11.33
$32.86,$17.29
$22.36,$8.98
$900.00,$900.00
$198.51,$198.51
$206.99,$2.07
$82.50,$0.02
$600.00,$2.50
$122.61,$197.75
$47.28,$71.64
$27.08,$17.25
$21.67,$16.42
$108.23,$251.70
$35.25,$53.40
$106.67,$209.16
$64.63,$129.26
$21.76,$17.69
$19.78,$20.39
$59.69,$135.67
$76.95,$153.91
$21.42,$14.98
$20.40,$14.68
$83.10,$184.66
$351.56,$9.25
$324.87,$9.56
$166.81,$5.56
$178.75,$25.54
$305.41,$38.18
$186.15,$37.23
$165.78,$20.72
$353.26,$39.25
$480.90,$16.03
$193.99,$27.71
$255.40,$28.38
$573.81,$10.07
$200.67,$20.07
$92.95,$18.59
$450.45,$16.68
$171.72,$12.27
$112.01,$14.00
$141.98,$9.47
$138.97,$4.34
$53.02,$17.67
$74.65,$4.67
$137.79,$3.00
$6.19,$3.09
$118.29,$9.43
$54.27,$1.94
$50.85,$23.87
$10.92,$1.00
$39.08,$32.03
$72.56,$6.77
$22.17,$4.75
$24.94,$11.28
$32.99,$17.36
$22.37,$8.98
$900.00,$900.00
$202.99,$202.99
$207.83,$2.08
$82.56,$0.02
$600.00,$2.50
$122.54,$197.65
$47.41,$71.83
$26.92,$17.15
$21.67,$16.42
$107.64,$250.33
$35.25,$53.40
$106.74,$209.29
$64.79,$129.57
$21.84,$17.76
$19.69,$20.30
$60.97,$138.56
$77.29,$154.57
$21.41,$14.97
$20.40,$14.68
$84.16,$187.01
$351.33,$9.25
$321.95,$9.47
$167.46,$5.58
$180.77,$25.82
$304.51,$38.06
$185.01,$37.00
$164.61,$20.58
$356.74,$39.64
$480.90,$16.03
$196.83,$28.12
$274.61,$30.51
$567.64,$9.96
$200.31,$20.03
$93.27,$18.65
$436.41,$16.16
$114.28,$8.16
$105.73,$13.22
$158.25,$10.55
$119.57,$3.74
$38.12,$12.71
$76.52,$4.78
$128.53,$2.79
$6.48,$3.24
$118.54,$9.45
$54.27,$1.94
$51.20,$24.04
$10.92,$1.00
$39.08,$32.03
$72.55,$6.77
$22.01,$4.71
$24.97,$11.30
$33.15,$17.45
$22.45,$9.02
$900.00,$900.00
$214.93,$214.93
$208.69,$2.09
$82.50,$0.02
$600.00,$2.50
$123.23,$198.76
$47.85,$72.50
$27.06,$17.23
$21.51,$16.29
$107.65,$250.36
$35.51,$53.80
$108.21,$212.17
$65.26,$130.51
$22.00,$17.89
$19.69,$20.30
$61.12,$138.91
$78.07,$156.14
$21.41,$14.97
$20.41,$14.68
$84.58,$187.95
$350.49,$9.22
$320.43,$9.42
$168.59,$5.62
$181.55,$25.94
$304.28,$38.04
$187.84,$37.57
$169.46,$21.18
$355.91,$39.55
$480.90,$16.03
$206.74,$29.53
$283.43,$31.49
$555.63,$9.75
$200.77,$20.08
$91.25,$18.25
$449.96,$16.67
$86.47,$6.18
$99.87,$12.48
$156.34,$10.42
$116.27,$3.63
$33.29,$11.10
$75.84,$4.74
$134.46,$2.92
$6.90,$3.45
$117.82,$9.39
$54.27,$1.94
$51.03,$23.96
$10.68,$0.98
$39.08,$32.03
$72.83,$6.80
$22.21,$4.76
$25.17,$11.39
$33.23,$17.49
$22.43,$9.01
$900.00,$900.00
$225.29,$225.29
$209.53,$2.10
$82.50,$0.02
$600.00,$2.50
$123.92,$199.88
$47.75,$72.35
$27.20,$17.32
$21.50,$16.29
$107.35,$249.66
$35.58,$53.91
$107.71,$211.19
$66.33,$132.65
$22.12,$17.98
$19.69,$20.30
$61.77,$140.39
$78.14,$156.28
$21.41,$14.97
$20.70,$14.89
$85.10,$189.12
$356.86,$9.39
$315.01,$9.26
$170.53,$5.68
$179.55,$25.65
$303.84,$37.98
$191.40,$38.28
$166.64,$20.83
$365.58,$40.62
$480.90,$16.03
$218.03,$31.15
$307.89,$34.21
$512.43,$8.99
$178.10,$17.81
$93.12,$18.62
$440.64,$16.32
$118.30,$8.45
$101.28,$12.66
$154.50,$10.30
$132.16,$4.13
$39.90,$13.30
$69.28,$4.33
$134.32,$2.92
$7.38,$3.69
$119.73,$9.54
$54.26,$1.94
$50.46,$23.69
$10.68,$0.98
$39.47,$32.35
$83.84,$7.83
$21.88,$4.68
$25.39,$11.49
$33.40,$17.58
$22.43,$9.01
$900.00,$900.00
$242.85,$242.85
$210.40,$2.10
$82.50,$0.02
$600.00,$2.50
$125.30,$202.09
$48.19,$73.01
$27.82,$17.72
$21.13,$16.01
$107.60,$250.23
$35.63,$53.99
$107.31,$210.42
$69.72,$139.44
$22.28,$18.11
$19.97,$20.59
$61.88,$140.63
$78.22,$156.44
$22.82,$15.96
$20.88,$15.02
$87.46,$194.36
$364.34,$9.59
$347.95,$10.23
$168.21,$5.61
$203.07,$29.01
$304.40,$38.05
$191.20,$38.24
$174.32,$21.79
$368.73,$40.97
$480.90,$16.03
$221.44,$31.63
$328.14,$36.46
$530.67,$9.31
$177.30,$17.73
$91.40,$18.28
$443.07,$16.41
$148.40,$10.60
$91.28,$11.41
$159.75,$10.65
$165.44,$5.17
$69.12,$23.04
$66.08,$4.13
$119.14,$2.59
$10.64,$5.32
$120.98,$9.64
$54.26,$1.94
$50.82,$23.86
$10.68,$0.98
$39.47,$32.35
$85.14,$7.95
$22.42,$4.80
$25.42,$11.50
$33.59,$17.68
$22.43,$9.01
$900.00,$900.00
$252.16,$252.16
$212.06,$2.12
$82.50,$0.02
$600.00,$2.50
$126.54,$204.09
$48.45,$73.41
$27.82,$17.72
$21.40,$16.21
$107.47,$249.93
$35.61,$53.95
$107.83,$211.43
$70.87,$141.74
$22.30,$18.13
$20.46,$21.09
$61.54,$139.87
$79.51,$159.02
$22.94,$16.04
$21.27,$15.30
$88.14,$195.87
$370.93,$9.76
$317.68,$9.34
$172.96,$5.77
$208.04,$29.72
$303.52,$37.94
$188.10,$37.62
$173.92,$21.74
$373.05,$41.45
$480.90,$16.03
$223.69,$31.96
$338.49,$37.61
$549.48,$9.64
$180.30,$18.03
$92.00,$18.40
$459.81,$17.03
$165.62,$11.83
$93.20,$11.65
$167.85,$11.19
$146.56,$4.58
$76.08,$25.36
